StepDistance(m),CumulativeDistance(km),Slope (deg),Lattitude,Longitude
9.0115526383601,0.0090115526383601,-0.9999872283336289,-12.4604525000032,130.8430664999935
9.011552637544897,0.0180231052759049,-1.05151042389053,-12.4605095000032,130.8431254999935
9.600827879660748,0.0276239331555657,-0.1495679046945946,-12.460507218802999,130.8431860001105
9.600827881177848,0.0372247610367435,-0.2461941893976353,-12.46044565640195,130.8432480003165
9.60082788357178,0.0468255889203153,-0.3428190736486867,-12.46038409398675,130.84331000049298
9.60082787977056,0.0564264168000859,-0.4394306261866512,-12.4603225315574,130.8433720006405
9.600827881648703,0.0660272446817346,-0.5360510613630718,-12.46026096911395,130.84343400075852
9.600827881836215,0.0756280725635708,-0.6326684478237773,-12.46019940665635,130.8434960008465
9.60082788008094,0.0852289004436517,-0.7292708555108941,-12.460137844184601,130.843558000905
9.600827882194046,0.0948297283258458,-0.8258804969680091,-12.46007628169875,130.8436200009345
9.600827881860038,0.1044305562077058,-0.9224854423652415,-12.46001471919875,130.8436820009345
9.600827882150702,0.1140313840898566,-1.6914963346849723,-12.4599531566846,130.84374400090502
9.600827880120328,0.1236322119699769,-2.368180284727362,-12.45989159415635,130.84380600084648
9.600827882210506,0.1332330398521874,-3.356409726557026,-12.45983003161395,130.8438680007585
9.600827881979646,0.142833867734167,-3.4526963915893765,-12.459768469057401,130.8439300006405
9.60082788031032,0.1524346956144774,-3.548952196610068,-12.459706906486751,130.84399200049302
9.600827882005053,0.1620355234964824,-3.6451992829205513,-12.45964534390195,130.8440540003165
9.600827882009158,0.1716363513784916,-3.741414440059953,-12.459583781303,130.8441160001105
8.944035508982758,0.1805803868874743,1.0892490576417957,-12.45952456252185,130.8441178749555
8.944035509044607,0.1895244223965189,1.1792399419492148,-12.4594676875593,130.844059624879
8.944035507523388,0.1984684579040423,1.2692127953601826,-12.459410812584249,130.84400137482749
8.944035508201166,0.2074124934122435,1.3592038116722407,-12.459353937596699,130.843943124802
8.944035508624255,0.2163565289208677,1.4491759104743414,-12.4592970625967,130.843884874802
8.944035508792652,0.2253005644296604,1.539128651676191,-12.45924018758425,130.8438266248275
8.94403550933153,0.2342445999389919,1.3727220453433953,-12.4591833125593,130.843768374879
8.944035507787202,0.2431886354467791,0.9998024651966364,-12.45912643752185,130.84371012495552
7.525442221845812,0.2507140776686249,0.6049415177569113,-12.459072833337299,130.8436578333245
7.52544222210858,0.2582395198907335,0.4543052407371433,-12.459022500007901,130.843611499982
7.525442221316478,0.26576496211205,0.3036772043290042,-12.4589721666706,130.84356516665753
9.853178100417924,0.275618140212468,0.3045932448387598,-12.45891530003325,130.8435102999305
9.85317810170204,0.28547131831417,0.1062974114163189,-12.45885190009235,130.8434468998065
9.853178099911188,0.2953244964140812,-0.0920120595716716,-12.4587885001367,130.8433834997135
9.853178100803335,0.3051776745148846,-0.2902971443317533,-12.45872510016625,130.8433200996515
9.853178101436248,0.3150308526163208,-0.4885974563916578,-12.458661700181,130.8432566996205
9.853178100132864,0.3248840307164537,-0.6868749741591069,-12.458598300180999,130.8431932996205
9.85317810050033,0.334737208816954,-0.8851360408250298,-12.45853490016625,130.8431298996515
9.85317810124115,0.3445903869181951,-0.9260299642176246,-12.4584715001367,130.8430664997135
9.853178101849249,0.3544435650200444,-2.1466399724854552,-12.458408100092349,130.84300309980648
9.853178100647574,0.364296743120692,-2.1466510483305625,-12.458344700033251,130.8429396999305
7.536080160574559,0.3718328232812666,-2.1249316124677717,-12.4582890000022,130.84288349999548
7.5360801642382595,0.3793689034455049,-2.1249460928078108,-12.4582410000022,130.8428344999955
6.875142430296602,0.3862440458758014,-2.086617756727044,-12.4581955000019,130.84278724999598
6.875142430015314,0.3931191883058168,-2.0866336311232714,-12.4581525000019,130.84274174999598
6.651372402875801,0.3997705607086926,-2.2068733103189246,-12.458109000001599,130.8427397500035
6.651372403221703,0.4064219331119143,-2.206856904420307,-12.4580650000016,130.8427812500035
9.633435906435563,0.4160553690183499,-2.072984938212259,-12.45801307145125,130.84283407147302
9.633435907311224,0.4256888049256611,-2.072973608729146,-12.4579532143462,130.842898214404
9.633435906794778,0.4353222408324558,-2.072984938135029,-12.45789335722605,130.8429623573055
9.633435908025536,0.4449556767404814,-2.111990732606362,-12.45783350009075,130.8430265001775
9.633435905500408,0.4545891126459818,-2.04903444824308,-12.4577736429403,130.84309064302
9.63343590847265,0.4642225485544545,-1.9522849360924028,-12.45771378577475,130.843154785833
9.633435905813924,0.4738559844602684,-1.855535618406576,-12.4576539285941,130.843218928616
9.81618163075741,0.4836721660910258,-1.811861783414085,-12.4575918750106,130.843282000023
9.816181632888028,0.4934883477239138,-1.7133283404736606,-12.457527625024749,130.8433440000535
9.816181629714784,0.5033045293536286,-1.6147847601191134,-12.45746337502475,130.8434060000535
9.816181632476592,0.5131207109861052,-1.5162316219790817,-12.4573991250106,130.843468000023
8.07049408415801,0.5211912050702632,-1.42593098492785,-12.45734060000955,130.843524500021
8.07049408449749,0.5292616991547606,-1.3448945427158507,-12.4572878000239,130.843575500052
8.070494084576273,0.5373321932393369,-1.2638391841019536,-12.4572350000287,130.843626500062
8.070494082884707,0.5454026873222216,-1.1827787659033724,-12.457182200023901,130.84367750005202
8.070494084852218,0.5534731814070739,-1.5112377278239124,-12.45712940000955,130.843728500021
9.058937631965671,0.5625321190390395,-2.22250010093233,-12.45707378573295,130.843783071468
9.058937633055276,0.5715910566720949,-2.3135095793236458,-12.4570153571926,130.8438412143905
9.058937631961156,0.5806499943040561,-2.404507379174217,-12.4569569286398,130.843899357287
