StepDistance(m),CumulativeDistance(km),Slope (deg),Lattitude,Longitude,wind speed,wind angle
5428.454894020579,5.42845489402057,-0.14355292710248913,-12.442441297193133,130.85334251203466,3.375,15.002669983321418
5536.800761556791,10.9652556555774,-0.03346110299801002,-12.436634873944332,130.8969461629993,3.375,134.999309394871
5654.017459851554,16.6192731154289,0.21237846376386185,-12.455940267003001,130.94199992747366,3.375,134.99833243350898
5558.048344530024,22.177321459959,0.009472905202289217,-12.472004354726401,130.98911484825732,3.375,134.9987313008253
5716.21101418703,27.893532474146,0.0890720388707946,-12.507333621443667,131.02304844247735,3.375,134.99677906984132
5749.945623182364,33.6434780973284,-0.06535338042773851,-12.5427388772868,131.059615321984,3.375,134.99716132499296
5856.302964057704,39.4997810613861,-0.1546305684836291,-12.5905306292409,131.07361632894336,3.375,134.9959616322643
5890.850102927683,45.3906311643137,0.2791020526625574,-12.643047701220269,131.07560341406463,3.375,134.99516736774666
5903.473200591451,51.2941043649052,0.03713273743968568,-12.6953888944366,131.08427892373467,3.375,134.99516198582864
5931.634997777588,57.2257393626828,-0.016627097583704138,-12.746866166220133,131.09586714883932,3.375,134.995091545961
5815.318377245,63.0410577399278,-0.021792960121297594,-12.792188003287533,131.11988618262737,3.375,134.995541527786
5887.197073392621,68.9282548133204,0.03159382008118726,-12.840495099270301,131.13587909957369,3.375,134.99591512699035
5820.245808535193,74.7485006218556,0.1408357617128104,-12.891590239712498,131.14045345130603,3.375,134.995412839607
5917.739364715502,80.6662399865711,0.27464893520502337,-12.941024404683498,131.1267683025163,3.375,134.9953532687747
5846.042376239836,86.5122823628109,-0.39977013734235695,-12.991642806823865,131.11888461093866,3.375,134.99547214021464
5884.533713028404,92.3968160758392,0.04957019674583766,-13.041739378304767,131.1155004625323,3.375,134.99537409508565
5890.269288838908,98.2870853646781,0.11461990048358538,-13.091912217681232,131.10753793667433,3.375,134.995487586396
5946.41308913987,104.233498453818,-0.1835566522179652,-13.144670282215666,131.10614540985267,3.375,134.99524731092532
5904.483703453651,110.137982157272,0.01134288392513244,-13.197097443933767,131.10143963644202,3.375,134.99504498255666
5766.124422131725,115.904106579403,-0.057423920828398214,-13.240637319516033,131.114618315374,3.375,134.99521220152135
5920.852762164088,121.824959341567,0.06752975272708138,-13.270801055982469,131.15706606329832,3.375,134.9967261765327
5915.507669497127,127.740467011064,-0.003485631975182058,-13.301169387493232,131.19963492572433,3.375,134.99685602173167
5849.199971359218,133.589666982423,0.13952106193842698,-13.349521192088503,131.21405841075966,3.375,134.99741368646102
5925.135476755473,139.514802459179,0.08481242374252972,-13.382368062410032,131.24958742410763,3.375,134.99521732062198
5906.442439718342,145.421244898897,-0.05980351276572639,-13.413715654076434,131.29342167057703,3.375,134.99735472302666
5879.445557685385,151.300690456582,0.1753151642790315,-13.456025241314466,131.32461489603466,3.375,134.99701682600633
5878.587922735349,157.179278379318,0.06102918899462716,-13.486461156883534,131.36414527896233,3.375,134.99592064138366
5911.4011011277025,163.090679480445,0.6030442671233563,-13.5242002868832,131.40042227740832,3.375,134.99755240824734
5843.972751225422,168.934652231671,-0.34323945565648867,-13.5632748187443,131.43560552984266,3.375,134.99630380356132
5714.222608729351,174.6488748404,0.5354516618114147,-13.574180362385603,131.47606595728502,3.375,134.99639838528066
5880.895344049586,180.52977018445,0.10884023446936414,-13.5958029171263,131.51164691437234,3.375,134.9981886644897
5859.721221246557,186.389491405696,0.28898518790800837,-13.6270452015639,131.55145126047535,3.375,134.998890396657
5883.5984371114355,192.273089842807,0.09210275437053714,-13.625780820538866,131.60289167501432,3.375,134.99701899551698
5868.3363504852805,198.141426193293,-0.31792541325966706,-13.6427716902025,131.65226217107102,3.375,134.99916035684868
5889.829372077638,204.03125556537,-0.023599568447375215,-13.677557123337131,131.68902490689297,3.4016666666666637,134.99966385103568
5936.028461872512,209.967284027242,0.09044234618776234,-13.723287002446165,131.71169440319935,3.4083333333333306,134.99760440069366
5835.96683484563,215.803250862088,-0.07425720397670585,-13.754553037841866,131.75489021684197,3.4083333333333306,134.9955911403613
5966.480208697463,221.769731070786,0.35045793702229994,-13.787389360783,131.79580599390033,3.4083333333333306,134.99639605451665
5714.6162459441175,227.484347316729,-0.37763198206109727,-13.820639994169996,131.83416891840238,3.4083333333333306,134.9977035592393
5867.552708775349,233.351900025505,-0.12066582317624941,-13.864775036558203,131.842134270341,3.4083333333333306,134.99625931160602
5941.545413619452,239.293445439124,-0.2950704218320246,-13.911654442579165,131.86235643803167,3.4083333333333306,134.99722285099637
5918.8565176201555,245.212301956744,0.02679519925706978,-13.951885628518266,131.89781858526268,3.4083333333333306,134.99559106587768
5942.4063332268815,251.154708289971,-0.17587792189297452,-13.9969417725751,131.92656559592132,3.4083333333333306,134.99596128076232
5852.324180517629,257.007032470489,0.008577951303797869,-14.04201397233123,131.95343805316332,3.4083333333333306,134.99608825923067
5800.991562586902,262.808024033075,0.0013297321688584974,-14.083236817840298,131.98380401453096,3.4083333333333306,134.99570645040498
5904.947393419301,268.712971426495,-0.07336128967226717,-14.131906333236566,131.99715510213366,3.4083333333333306,134.99616043793168
5855.8386632124175,274.568810089707,-0.13729022191414753,-14.176472984692968,132.02534409480532,3.4083333333333306,134.9962054297587
5933.153271474836,280.501963361182,0.46835014138340314,-14.223873161621766,132.04231714779036,3.4083333333333306,134.995398675257
5881.8617072593925,286.383825068441,0.03090644900899907,-14.268898020567534,132.06783431587468,3.4083333333333306,134.99595171605836
