StepDistance(m),CumulativeDistance(km),Slope (deg),Lattitude,Longitude,wind speed,wind angle,GHI,WIND_SPEED,WIND_DIRECTION
5428.454894020579,5.42845489402057,-0.1435529271024891,-12.442441297193133,130.85334251203466,3.375,-119.0,0.0,1.4,101.0
5536.800761556791,10.9652556555774,-0.03346110299801,-12.436634873944332,130.8969461629993,3.375,-119.0,,,
5654.017459851554,16.6192731154289,0.2123784637638618,-12.455940267003,130.94199992747366,3.375,-119.0,,,
5558.048344530024,22.177321459959,0.0094729052022892,-12.4720043547264,130.98911484825732,3.375,-119.0,,,
5716.21101418703,27.893532474146,0.0890720388707946,-12.507333621443667,131.02304844247735,3.375,-119.0,,,
5749.945623182364,33.6434780973284,-0.0653533804277385,-12.5427388772868,131.059615321984,3.375,-119.0,,,
5856.302964057704,39.4997810613861,-0.1546305684836291,-12.5905306292409,131.07361632894336,3.375,-119.0,,,
5890.850102927683,45.3906311643137,0.2791020526625574,-12.643047701220269,131.07560341406463,3.375,-119.0,,,
5903.473200591451,51.2941043649052,0.0371327374396856,-12.6953888944366,131.08427892373467,3.375,-119.0,,,
5931.634997777588,57.2257393626828,-0.0166270975837041,-12.746866166220132,131.09586714883932,3.375,-119.0,,,
5815.318377245,63.0410577399278,-0.0217929601212975,-12.792188003287531,131.11988618262737,3.375,-119.0,,,
5887.197073392621,68.9282548133204,0.0315938200811872,-12.8404950992703,131.13587909957369,3.375,-119.0,,,
5820.245808535193,74.7485006218556,0.1408357617128104,-12.891590239712498,131.14045345130603,3.375,-119.0,,,
5917.739364715502,80.6662399865711,0.2746489352050233,-12.941024404683498,131.1267683025163,3.375,-119.0,,,
5846.042376239836,86.5122823628109,-0.3997701373423569,-12.991642806823863,131.11888461093866,3.375,-119.0,,,
5884.533713028404,92.3968160758392,0.0495701967458376,-13.041739378304769,131.1155004625323,3.375,-119.0,,,
5890.269288838908,98.2870853646781,0.1146199004835853,-13.091912217681232,131.10753793667433,3.375,-119.0,,,
5946.41308913987,104.233498453818,-0.1835566522179652,-13.144670282215666,131.10614540985267,3.375,-119.0,,,
5904.483703453651,110.137982157272,0.0113428839251324,-13.197097443933767,131.10143963644202,3.375,-119.0,,,
5766.124422131725,115.904106579403,-0.0574239208283982,-13.240637319516033,131.114618315374,3.375,-119.0,,,
5920.852762164088,121.824959341567,0.0675297527270813,-13.270801055982467,131.15706606329832,3.375,-119.0,,,
5915.507669497127,127.740467011064,-0.003485631975182,-13.301169387493232,131.19963492572433,3.375,-119.0,,,
5849.199971359218,133.589666982423,0.1395210619384269,-13.349521192088504,131.21405841075966,3.375,-119.0,,,
5925.135476755473,139.514802459179,0.0848124237425297,-13.382368062410032,131.24958742410763,3.375,-119.0,,,
5906.442439718342,145.421244898897,-0.0598035127657263,-13.413715654076434,131.29342167057703,3.375,-119.0,,,
5879.445557685385,151.300690456582,0.1753151642790315,-13.456025241314466,131.32461489603466,3.375,-119.0,,,
