StepDistance(m),CumulativeDistance(km),Slope (deg),Lattitude,Longitude,WindSpeed(m/s),Winddirection(frmnorth)
5428.454894020576,5.428454894020571,-0.1261725025111127,-12.442441297193136,130.85334251203471,3.7500100925925928,15.00266998332126
5536.8007615567885,10.96525565557736,-0.0288683146134393,-12.43663487394434,130.89694616299957,3.794444444444444,134.99930939487123
5654.017459851553,16.61927311542892,0.2122382659696599,-12.455940267003,130.94199992747374,3.794444444444444,134.99833243350895
5558.048344530024,22.177321459958986,-0.0016157545679171,-12.472004354726383,130.9891148482575,3.794444444444444,134.9987313008251
5716.21101418703,27.89353247414604,0.088899077337468,-12.507333621443646,131.0230484424772,3.794444444444444,134.9967790698415
5749.945623182364,33.643478097328426,-0.0691397530091281,-12.542738877286824,131.05961532198415,3.794444444444444,134.99716132499302
5856.302964057704,39.49978106138609,-0.1527037949363262,-12.590530629240876,131.07361632894336,3.794444444444444,134.99596163226448
5890.850102927683,45.39063116431374,0.2804374977699599,-12.643047701220285,131.07560341406457,3.794444444444444,134.99516736774697
5903.473200591449,51.294104364905195,0.036329477507468,-12.69538889443658,131.08427892373462,3.794444444444444,134.99516198582845
5931.634997777586,57.225739362682795,-0.0164228297406931,-12.746866166220151,131.095867148839,3.794444444444444,134.99509154596117
5815.318377244999,63.041057739927766,-0.0147411440037372,-12.792188003287505,131.11988618262737,3.794444444444444,134.9955415277862
5887.197073392621,68.92825481332044,0.0323648069480953,-12.84049509927028,131.135879099574,3.794444444444444,134.99591512699033
5820.245808535193,74.74850062185558,0.1423757326185232,-12.891590239712498,131.1404534513061,3.794444444444444,134.9954128396069
5917.7393647155,80.66623998657107,0.2740860499712642,-12.941024404683516,131.12676830251613,3.794444444444444,134.99535326877438
5846.042376239834,86.51228236281088,-0.4016668343319736,-12.99164280682386,131.11888461093855,3.794444444444444,134.99547214021428
5884.533713028404,92.39681607583924,0.0541487866107907,-13.04173937830477,131.11550046253254,3.794444444444444,134.99537409508585
5890.269288838907,98.28708536467808,0.1105347577653987,-13.091912217681225,131.10753793667433,3.794444444444444,134.9954875863958
5946.413089139871,104.23349845381792,-0.1836913768355327,-13.144670282215673,131.10614540985264,3.794444444444444,134.99524731092512
5904.483703453652,110.13798215727162,0.0070310388906405,-13.19709744393374,131.1014396364421,3.794444444444444,134.99504498255672
5766.124422131726,115.90410657940322,-0.0559806440753609,-13.240637319516054,131.1146183153738,3.794444444444444,134.99521220152107
5920.852762164087,121.82495934156732,0.0677385987859908,-13.27080105598245,131.15706606329832,3.794444444444444,134.99672617653275
5915.507669497126,127.74046701106435,-0.0051564968902212,-13.30116938749325,131.1996349257241,3.794444444444444,134.99685602173173
5849.199971359218,133.58966698242318,0.1398809133351061,-13.349521192088527,131.21405841075978,3.794444444444444,134.9974136864608
5925.135476755474,139.5148024591789,0.0870807072754487,-13.38236806241001,131.2495874241076,3.794444444444444,134.99521732062234
5906.44243971834,145.42124489889716,-0.0655085546507617,-13.413715654076436,131.29342167057703,3.794444444444444,134.9973547230265
5879.445557685383,151.30069045658223,0.1739988367334041,-13.456025241314464,131.32461489603503,3.794444444444444,134.99701682600653
5878.587922735347,157.17927837931762,0.0615048861245358,-13.48646115688352,131.3641452789625,3.794444444444444,134.99592064138346
5911.401101127703,163.0906794804453,0.6034044586637913,-13.524200286883191,131.4004222774085,3.794444444444444,134.99755240824717
5843.972751225421,168.93465223167055,-0.3391766791331589,-13.563274818744333,131.43560552984275,3.794444444444444,134.9963038035615
5714.222608729351,174.64887484039988,0.5294474142086856,-13.574180362385617,131.47606595728507,3.794444444444444,134.99639838528063
5880.895344049584,180.52977018444977,0.1131769376796237,-13.595802917126305,131.5116469143722,3.794444444444444,134.99818866449007
5859.7212212465565,186.38949140569605,0.3005747764221558,-13.627045201563872,131.55145126047515,3.794444444444444,134.99889039665698
5883.598437111434,192.27308984280748,0.0874503002382509,-13.625780820538864,131.60289167501426,3.794444444444444,134.9970189955169
5868.3363504852805,198.14142619329272,-0.316836066791868,-13.642771690202496,131.6522621710707,3.794444444444444,134.99916035684862
5889.829372077638,204.0312555653703,-0.0242417170798548,-13.67755712333711,131.6890249068928,3.794444444444444,134.9996638510356
5936.0284618725145,209.96728402724244,0.0898768316056925,-13.72328700244617,131.71169440319946,3.794444444444444,134.9976044006937
5835.966834845631,215.80325086208825,-0.0662375459225274,-13.754553037841864,131.75489021684174,3.794444444444444,134.9955911403611
5966.480208697463,221.76973107078575,0.3516612334490935,-13.787389360782994,131.79580599390016,3.794444444444444,134.99639605451688
5714.616245944118,227.48434731672944,-0.383564861485118,-13.820639994170037,131.83416891840213,3.794444444444444,134.99770355923923
5867.552708775349,233.3519000255048,-0.1214288488810591,-13.8647750365582,131.8421342703408,3.794444444444444,134.9962593116056
5941.545413619451,239.29344543912407,-0.2960723328816537,-13.911654442579165,131.86235643803155,3.794444444444444,134.9972228509963
5918.8565176201555,245.2123019567443,0.0233287516518862,-13.951885628518266,131.89781858526254,3.794444444444444,134.9955910658775
5942.406333226882,251.15470828997107,-0.1752684675867158,-13.996941772575116,131.926565595921,3.794444444444444,134.9959612807623
5852.32418051763,257.0070324704886,0.0065219604557475,-14.042013972331215,131.95343805316364,3.794444444444444,134.9960882592309
5800.991562586903,262.80802403307536,0.0028178144745024,-14.083236817840298,131.98380401453096,3.794444444444444,134.99570645040495
5904.947393419301,268.71297142649496,-0.0740279227318633,-14.131906333236556,131.99715510213363,3.794444444444444,134.99616043793148
