CummulativeDistance,Velocity,Acceleration,Battery,EnergyConsumption,Solar,Time
0.0,32.019979942118844,,100.0,,,0.0
5131.69402279796,30.465667245518674,-0.009462979901285385,100.44228209226524,0.0,13.511717918703033,164.25192833697596
10406.371789186478,21.8040001287443,-0.04291659881784492,97.76646153473656,98.84504797399036,17.09872994148924,366.07750061817956
15788.497359600598,26.319882702297388,0.020189217164330215,82.93849921058383,472.56584583838884,19.571596835522755,589.7554439874566
21015.476720295526,25.106276330776623,-0.00597009381238663,67.62598366373084,486.10760080933386,18.310250852974626,793.0363989705758
26476.312381653854,23.613220972214226,-0.006660235817418258,53.319459862039565,457.9051384648264,20.84083632315841,1017.2109476641322
31952.507129548554,27.84098688632347,0.019861998721623832,43.982063095028565,305.64204757789753,20.384576345711405,1230.0679704322617
37441.6037790491,30.317234209951845,0.013118200366767571,44.58939193808704,0.0,18.553896155436476,1418.8322257718485
43010.95482209544,17.480521939743813,-0.0550841595583789,23.993373703688253,652.853015078747,23.64465801786394,1651.8704054068398
48627.06575039026,15.059196869045811,-0.0070145727154752886,-9.437106515397213,1057.9834577456043,36.68228705254314,1997.055375170738
54243.263073799724,27.986844981684083,0.04954278222186681,-11.040681291232062,77.68885904740775,28.69964964565322,2257.994457169495
59838.47097252074,30.27846981789886,0.011931839256413872,-10.331739994364781,0.0,21.65815661929526,2450.0541042170307
65388.6842953444,22.499893581930337,-0.03698421119281832,-12.640904599271446,94.91237684788877,24.367398167990444,2660.3756437360075
70970.05897826396,19.29510402653001,-0.01199920982240512,-40.4400377522257,881.2724237767097,32.00890595395772,2927.459026961484
76531.93054234018,24.99873039095694,0.022711373223172987,-65.91003680795288,809.163951998484,31.055480846018064,3178.594275736639
82127.75300826503,27.533115825622787,0.011896012314853306,-87.26545695131307,679.4527697265779,27.044684346923447,3391.63923295322
87666.35666945748,30.253402692522926,0.014190933044859941,-86.45016163887617,0.0,24.90727179494755,3583.3311293423335
93292.2157488126,21.04172970223428,-0.04199482950436308,-87.62020738031237,65.00578606468851,29.26088866381251,3802.683680573232
98886.37622037453,27.90046173193951,0.030002837581131765,-101.23673685300709,447.3150803168713,31.3301049260475,4031.286458932388
104530.06554604627,30.12163513194203,0.011417809410805519,-100.3440071989721,0.0,27.272890930768554,4225.822321293206
110137.98215727175,25.774788326884362,-0.02166340965941381,-106.68285551165444,222.43968039775672,28.787864445311364,4426.476182961226
115608.47356815614,30.240857161073112,0.02286537988960565,-105.74500379338559,0.0,28.651369993113743,4621.796306910664
121227.07082305386,21.71807644794364,-0.039407932018700256,-122.5406880683648,545.6108695750349,32.50271497442037,4838.066998533994
126846.52392663145,26.616479361906066,0.021066296373422746,-123.60027208491249,68.22373697048253,35.85344526495079,5070.590211306328
132426.1006194785,18.260353803002275,-0.03360438195752857,-134.0560945071129,358.8159774440476,39.39060244582458,5319.251995042294
138023.96415380825,14.915442167358828,-0.009911826656357522,-164.62699630192733,989.3516844408276,55.41063460924676,5656.718715517878
143648.28868440673,18.66258373819536,0.011185486905163616,-162.76280687180883,0.0,56.950987090119966,5991.719024633319
149263.117142494,14.601136693771643,-0.012030540210090904,-197.6156195591135,1124.140057296613,59.38662969945622,6329.313760488745
154849.6452118861,18.56707247809339,0.011773232503469884,-195.6103977320675,0.0,61.25952681625431,6666.174158272691
160413.18144539796,16.06413830512508,-0.007789977211211631,-228.6046139158257,1068.2366100832255,60.263305669412006,6987.476018997776
165980.53162315543,22.036585760087352,0.02043652413354044,-243.52019152472576,512.0077430292939,56.336847077397,7279.719818184756
171510.07018167851,20.700363418133676,-0.0051637280152625085,-269.48973801907573,844.4520734133124,51.082428010922015,7538.490678695647
176988.25352291402,9.836109052978443,-0.030279746385281015,-303.1328881782759,1100.9345088052012,73.13627144163578,7897.286760634971
182602.6869557324,8.259990733071529,-0.0025400242739275474,-359.6485015931736,1859.9424804382497,133.39049061312463,8517.799854184987
188173.0316768323,28.40063571872872,0.06627674762407851,-373.4002506731089,487.0937602636126,66.9778258715887,8821.686899154285
193756.4240095598,31.651321643866595,0.017481312522481755,-372.0385087308144,0.0,41.601216337099174,9007.63895057819
199325.90349851252,30.29752114534335,-0.007529103431555915,-370.7029318392943,0.0,40.80187403593967,9187.447942555802
204904.8773807505,21.107031590522457,-0.04234049262940852,-379.3302196028515,313.6535509268054,50.08990975013167,9404.50941218163
210564.7370972235,27.751435635541114,0.028678749438953606,-388.226350161939,326.1872827814161,54.41049420129064,9636.193295719233
216095.91877281797,12.062536086316442,-0.05646509550688828,-386.0461688521558,0.0,66.60453901387874,9914.044584349582
221769.731070787,8.15364688748223,-0.0069638203695347135,-425.8250711997131,1355.2398886269227,139.9944219090438,10475.358488415057
227206.59759209238,31.417474604869877,0.08466050707766008,-423.53977433753033,0.0,69.81581913968363,10750.148098357358
232761.6430896262,31.664023311831517,0.001399868079742671,-422.0579871339582,0.0,45.268599069131575,10926.270913449307
238394.84952379146,30.12909278583045,-0.00841866362602361,-420.5059105214821,0.0,47.4159405111425,11108.595637917015
244023.8017864882,27.200234258339695,-0.014914808349917512,-422.0814197241529,99.83617087405581,51.70436473246395,11304.9681596938
249658.73292239156,25.404833470990482,-0.008380508808348636,-420.210576332266,0.0,57.15426562214593,11519.203455951785
255237.35391514344,21.626210035509832,-0.01592800473965294,-440.22400730050714,675.6018445355608,64.19152845579653,11756.434891856228
260767.44902606017,30.013214495946784,0.03915846610925633,-438.30327514688355,0.0,58.678367293201056,11970.616020326284
