Unnamed: 0,StepDistance(m),CumulativeDistance(km),Slope (deg),WindSpeed(m/s),Winddirection(frmnorth)
299.5,9.047424823367626,2.691297470570655,-0.13928781010607716,3.7500100925925928,15.00266998332126
899.5,9.228001269261314,8.234408230143671,-0.0342005351231448,3.7944444444444443,134.99930939487123
1499.5,9.423362433085922,13.784796140257326,0.21570658164844014,3.7944444444444443,134.99833243350895
2099.5,9.26341390755004,19.350289013120488,0.01000491641567228,3.7944444444444443,134.9987313008251
2699.5,9.527018356978381,25.04477423323617,0.0952239293698246,3.7944444444444443,134.9967790698415
3299.5,9.58324270530394,30.7750051295103,-0.0655054858875114,3.7944444444444443,134.99716132499302
3899.5,9.760504940096173,36.56166447362041,-0.15587190293927514,3.7944444444444443,134.99596163226448
4499.5,9.818083504879471,42.436547830177645,0.2788769301764161,3.7944444444444443,134.99516736774697
5099.5,9.839122000985748,48.34001491541487,0.03720050154520452,3.7944444444444443,134.99516198582845
5699.5,9.886058329629313,54.25765849498893,-0.01812951332075933,3.7944444444444443,134.99509154596117
6299.5,9.69219729540833,60.139157768254734,-0.02061640705975713,3.7944444444444443,134.9955415277862
6899.5,9.811995122321035,65.99329708099664,0.03234015645649693,3.7944444444444443,134.99591512699033
7499.5,9.700409680891989,71.84922991084385,0.1427832254197377,3.7944444444444443,134.9954128396069
8099.5,9.862898941192501,77.71611198576745,0.2748716098427989,3.7944444444444443,134.99535326877438
8699.5,9.743403960399723,83.60980656595892,-0.40043247338153276,3.7944444444444443,134.99547214021428
9299.5,9.807556188380673,89.44948004410075,0.050138908782310684,3.7944444444444443,134.99537409508585
9899.5,9.817115481398181,95.34596507540286,0.11486256552480195,3.7944444444444443,134.9954875863958
10499.5,9.910688481899783,101.27421527921032,-0.18347971822702763,3.7944444444444443,134.99524731092512
11099.5,9.840806172422754,107.19404053349007,0.011645671298008444,3.7944444444444443,134.99504498255672
11699.5,9.610207370219543,113.01436189365008,-0.05862302790614842,3.7944444444444443,134.99521220152107
12299.5,9.868087936940144,118.86808218771574,0.06749415349150875,3.7944444444444443,134.99672617653277
12899.5,9.859179449161877,124.78971865426567,-0.0034855033786355158,3.7944444444444443,134.99685602173173
13499.5,9.74866661893203,130.68044798142404,0.1387943813561541,3.7944444444444443,134.9974136864608
14099.5,9.875225794592456,136.5489480524341,0.08618670491592074,3.7944444444444443,134.99521732062234
14699.5,9.8440707328639,142.475229435604,-0.059528936978848264,3.7944444444444443,134.9973547230265
15299.5,9.79907592947564,148.3718014027491,0.1738078244131422,3.7944444444444443,134.99701682600653
15899.5,9.797646537892245,154.263748429247,0.06283966150022667,3.7944444444444443,134.99592064138346
16499.5,9.852335168546173,160.13031062331828,0.6013693540923508,3.7944444444444443,134.99755240824717
17099.5,9.739954585375703,166.00432419564723,-0.3451783143765816,3.7944444444444443,134.9963038035615
17699.5,9.523704347882253,171.79485036568,0.5343085555816093,3.7944444444444443,134.99639838528063
18299.5,9.80149224008264,177.58938757327698,0.10874453372846936,3.7944444444444443,134.99818866449007
18899.5,9.766202035410927,183.46657035494374,0.28450652825178785,3.7944444444444443,134.99889039665698
19499.5,9.805997395185724,189.3360459411389,0.09100714106270322,3.7944444444444443,134.9970189955169
20099.5,9.780560584142135,195.22199232767497,-0.31717091313017004,3.7944444444444443,134.99916035684862
20699.5,9.816382286796063,201.09026025737106,-0.02487665850683389,3.7944444444444443,134.9996638510356
21299.5,9.893380769787523,206.99308166372958,0.08980106749552959,3.7944444444444443,134.9976044006937
21899.5,9.726611391409385,212.9028151068504,-0.07250093607842341,3.7944444444444443,134.9955911403611
22499.5,9.944133681162441,218.78485591216975,0.35075722423528466,3.7944444444444443,134.99639605451688
23099.5,9.524360409906864,224.63918886119916,-0.3769261191059658,3.7944444444444443,134.99770355923923
23699.5,9.77925451462558,230.39761912555375,-0.12052388409909348,3.7944444444444443,134.9962593116056
24299.5,9.902575689365753,236.31039341268252,-0.2955344149368037,3.7944444444444443,134.9972228509963
24899.5,9.864760862700258,242.25189797859434,0.02660560919524042,3.7944444444444443,134.9955910658775
25499.5,9.904010555378138,248.17819398963107,-0.17554459708090306,3.7944444444444443,134.9959612807623
26099.5,9.75387363419605,254.08161216797515,0.010056166279805918,3.7944444444444443,134.9960882592309
26699.5,9.668319270978172,259.90667200826454,0.0023983166126791094,3.7944444444444443,134.99570645040495
27299.5,9.841578989032168,265.7509902343995,-0.07103443045106103,3.7944444444444443,134.99616043793148
27899.5,9.75973110535403,271.6647701965461,-0.1350917344971757,3.7944444444444443,134.99620542975848
28499.5,9.888588785791393,277.5445969784203,0.46881421407537016,3.7944444444444443,134.995398675257
29099.5,9.803102845432319,283.4543149777785,0.03148267660662319,3.7944444444444443,134.9959517160584
29699.5,9.761608129188083,289.3149622372346,0.04376296937632363,3.7944444444444443,134.9955004069285
30299.5,9.550899667126703,295.12355388100286,-0.34086709499080875,3.7944444444444443,134.9959971610698
30899.5,9.746308401102077,300.9145036633811,0.004373033665876251,3.7944444444444443,134.99628952459477
31499.5,9.56381843181302,306.69682376140594,-0.17959383389283953,3.7944444444444443,134.9964065319277
32099.5,9.603721674374182,312.4824531185362,-0.09700783922876659,3.7944444444444443,134.99688562356616
32699.5,9.643959745480268,318.1953246781046,0.03818737220411908,3.7944444444444443,134.9970349626611
33299.5,9.88320433661417,324.0719218247195,0.146318258973805,3.7944444444444443,134.9970778277933
33899.5,9.825210205363042,330.005897091975,0.04892233328636955,3.7944444444444443,134.99713844401734
